Espece;Action;ID ind;Sexe;Age;Poids (g);Longueur dossiere (cm);Commune;site capture;Jour;Mois;Annee
Emys orbicularis;Marquage;2;F;ND;ND;ND;Arles;Ligagneau;19;3;1988
Emys orbicularis;Recapture;2;F;ND;ND;145;Arles;Ligagneau;5;4;1988
Emys orbicularis;Marquage;3;M;ND;480;148;Arles;Laune des Irudes;5;4;1988
Emys orbicularis;Marquage;4;M;ND;370;134;Arles;Bois Rescapé;6;4;1988
Emys orbicularis;Marquage;5;F;ND;770;166;Arles;Bois Rescapé;6;4;1988
Emys orbicularis;Marquage;6;M;ND;370;141;Arles;Bois Rescapé;20;4;1988
Emys orbicularis;Marquage;7;ind;ND;4,5;29;Arles;Bois Rescapé;20;4;1988
Emys orbicularis;Marquage;8;M;ND;470;144;Arles;Bois Rescapé;20;4;1988
Emys orbicularis;Marquage;9;F;ND;34;63;Arles;Bois Rescapé;29;4;1988
Emys orbicularis;Marquage;10;M;ND;320;133;Arles;Bois Rescapé;5;5;1988
Emys orbicularis;Marquage;11;M;ND;410;144;Arles;Rizières;5;5;1988
Emys orbicularis;Marquage;12;F;ND;610;148;Arles;Marais du Vigueirat;22;5;1988
Emys orbicularis;Marquage;13;F;ND;810;159;Arles;Bois Rescapé;23;5;1988
Emys orbicularis;Marquage;14;F;ND;920;173;Arles;Clos des Montures;2;7;1988
Emys orbicularis;Recapture;3;M;ND;510;148;Arles;Mar Sud - Roubine;4;8;1988
Emys orbicularis;Marquage;15;M;ND;390;140;Arles;Mar Sud - Roubine;4;8;1988
Emys orbicularis;Marquage;16;F;ND;630;157;Arles;Mar Sud - Roubine;4;8;1988
Emys orbicularis;Marquage;17;M;ND;460;145;Arles;Mar Sud - Roubine;4;8;1988
Emys orbicularis;Marquage;18;F;ND;650;159;Arles;Mar Sud - Roubine;4;8;1988
Emys orbicularis;Marquage;19;F;ND;700;157;Arles;Mar Sud - Roubine;4;8;1988
Emys orbicularis;Marquage;20;M;ND;420;147;Arles;Mar Sud - Roubine;4;8;1988
Emys orbicularis;Marquage;21;M;ND;410;145;Arles;Mar Sud - Roubine;4;8;1988
Emys orbicularis;Marquage;22;F;ND;720;168;Arles;Bois Rescapé;8;8;1988
Emys orbicularis;Recapture;5;F;ND;770;166;Arles;Clos des Montures;15;8;1988
Emys orbicularis;Marquage;23;M;ND;500;145;Arles;Mar Nord - Roubine;30;8;1988
Emys orbicularis;Marquage;25;F;ND;550;161;Arles;Mar Nord;30;8;1988
Emys orbicularis;Marquage;24;M;ND;425;145;Arles;Mar Nord;31;8;1988
Emys orbicularis;Marquage;26;F;ND;500;144;Arles;Bois Rescapé;1;11;1988
Emys orbicularis;Marquage;30;F;ND;900;173;Arles;Rizières;26;5;1989
Emys orbicularis;Marquage;31;F;ND;750;158;Arles;Rizières Etourneau;31;5;1989
Emys orbicularis;Recapture;2;F;ND;585;151;Arles;Clos Nord;29;6;1989
Emys orbicularis;Marquage;32;F;ND;665;167;Arles;Mar Nord;6;7;1989
Emys orbicularis;Marquage;33;F;ND;915;142;Arles;Clos des Montures;28;9;1989
Emys orbicularis;Recapture;33;F;ND;940;167;Arles;Bois Rescapé;8;10;1989
Emys orbicularis;Marquage;34;M;ND;13,5;48;Arles;Marais du Vigueirat;21;10;1989
Emys orbicularis;Marquage;35;M;ND;17;52;Arles;Marais du Vigueirat;21;10;1989
Emys orbicularis;Marquage;37;M;ND;350;140;Arles;Franc-Bord Etourneau;14;3;1990
Emys orbicularis;Marquage;38;F;ND;530;146;Arles;Franc-Bord Rizières Etourneau;10;5;1990
Emys orbicularis;Marquage;39;F;ND;750;171;Arles;Mas Ligagneau;15;5;1990
Emys orbicularis;Marquage;40;F;ND;770;158;Arles;Woodstoc;16;5;1990
Emys orbicularis;Marquage;41;F;ND;320;124;Arles;Bois Rescapé;25;5;1990
Emys orbicularis;Marquage;42;F;ND;620;150;Arles;Ligagneau;26;5;1990
Emys orbicularis;Marquage;43;M;ND;34;65;Arles;Pompe Ligagneau;29;7;1990
Emys orbicularis;Marquage;44;M;ND;350;134;Arles;Marais du Vigueirat;9;3;1991
Emys orbicularis;Marquage;45;F;ND;800;167;Arles;Rizières;10;3;1991
Emys orbicularis;Marquage;46;M;ND;330;133;Arles;Baisse des Marcels;29;3;1991
Emys orbicularis;Recapture;4;M;ND;340;134;Arles;Pompe Ligagneau;26;5;1991
Emys orbicularis;Marquage;36;F;ND;850;166;Arles;Franc-Bord Palunette Ligagneau;28;5;1991
Emys orbicularis;Marquage;47;F;ND;800;165;Arles;Trincanière;29;5;1991
Emys orbicularis;Marquage;48;F;ND;720;171;Arles;Piste Principale - En face du Pylone Quatre Pieds;29;5;1991
Emys orbicularis;Recapture;25;F;ND;ND;ND;Arles;Cabanon du Rendez-Vous;2;6;1991
Emys orbicularis;Marquage;49;F;ND;500;149;Arles;Mas Ligagneau;8;7;1991
Emys orbicularis;Marquage;50;F;ND;670;164;Arles;Cabane du Ligagneau;7;9;1991
Emys orbicularis;Recapture;5;F;ND;800;165;Arles;Mas Ligagneau;11;9;1991
Emys orbicularis;Recapture;49;F;ND;500;149;Arles;Mas Ligagneau;11;9;1991
Emys orbicularis;Marquage;51;F;ND;650;161;Arles;Baisse des Oies - Roubine;29;2;1992
Emys orbicularis;Marquage;52;F;ND;600;133;Arles;Laune des Irudes;17;3;1992
Emys orbicularis;Marquage;53;F;ND;50;71;Arles;Franc-Bord Demi-Lune;24;4;1992
Emys orbicularis;Marquage;54;M;ND;350;147;Arles;Digue des Piscis;11;5;1992
Emys orbicularis;Recapture;5;F;ND;ND;ND;Arles;Mas Ligagneau;1;6;1992
Emys orbicularis;Marquage;57;M;ND;140;97;Arles;Pompe Etourneau;9;6;1992
Emys orbicularis;Marquage;55;F;ND;960;172;Arles;Mas-Thibert;18;6;1992
Emys orbicularis;Recapture;13;F;ND;ND;ND;Arles;Mas Ligagneau;23;6;1992
Emys orbicularis;Recapture;30;F;ND;ND;ND;Arles;Pompe Ligagneau;23;7;1992
Emys orbicularis;Marquage;56;F;ND;675;171;Arles;Pompe Ligagneau;5;8;1992
Emys orbicularis;Marquage;58;F;ND;600;156;Arles;Cour des Bœufs;21;8;1992
Emys orbicularis;Marquage;59;F;ND;675;167;Arles;Cabane du Ligagneau;10;9;1992
Emys orbicularis;Marquage;60;F;ND;780;163;Arles;Piste Principale - En face du Clos des Bissouninques;12;9;1992
Emys orbicularis;Marquage;61;M;ND;410;137;Arles;Franc-Bord Demi-Lune;29;5;1993
Emys orbicularis;Marquage;62;F;ND;510;145;Arles;Piste Principale - En face des Friches;2;6;1993
Emys orbicularis;Marquage;63;F;ND;860;178;Arles;Cabane du Ligagneau;6;6;1993
Emys orbicularis;Marquage;64;F;ND;630;152;Arles;Les Friches - B6;14;6;1993
Emys orbicularis;Marquage;65;F;ND;760;173;Arles;Digue des Piscis - En face de Fangassier;19;6;1993
Emys orbicularis;Marquage;66;F;ND;670;167;Arles;Pompe Etourneau;10;12;1993
Emys orbicularis;Marquage;1;M;ND;500;154;Arles;Quatre Martelières;29;12;1993
Emys orbicularis;Recapture;1;M;ND;ND;156;Arles;Bois Rescapé;13;2;1994
Emys orbicularis;Marquage;80;M;ND;450;150;Arles;Digue des Piscis;15;3;1994
Emys orbicularis;Marquage;67;F;ND;520;158;Arles;Piste Principale - En face de Woodstoc;6;6;1994
Emys orbicularis;Marquage;68;F;ND;ND;159;Arles;Franc-Bord Palunette Ligagneau;1;10;1994
Emys orbicularis;Marquage;71;M;ND;350;158;Arles;Le Mazet;20;5;1995
Emys orbicularis;Recapture;13;F;ND;ND;ND;Arles;Mas Ligagneau;25;5;1995
Emys orbicularis;Recapture;5;F;ND;ND;ND;Arles;Mas Ligagneau;2;6;1995
Emys orbicularis;Marquage;70;F;ND;ND;151;Arles;Piste Principale;16;6;1995
Emys orbicularis;Recapture;36;F;ND;ND;ND;Arles;Franc-Bord Palunette Ligagneau;4;7;1995
Emys orbicularis;Marquage;72;F;ND;ND;166;Arles;Franc-Bord Demi-Lune;24;10;1995
Emys orbicularis;Marquage;73;M;ND;ND;151;Arles;Baisse du Hangar - Mirador;5;11;1995
Emys orbicularis;Marquage;74;F;ND;820;167;Arles;Rizières Etourneau;12;11;1995
Emys orbicularis;Marquage;206;M;ND;ND;ND;Arles;Woodstoc;1;5;1996
Emys orbicularis;Recapture;44;f;ND;ND;ND;Arles;Piste Principale - En face des Friches;6;5;1996
Emys orbicularis;Marquage;82;F;ND;535;162;Arles;Cabane du Ligagneau;29;5;1996
Emys orbicularis;Marquage;83;F;ND;ND;159;Arles;Haie Sud;31;5;1996
Emys orbicularis;Marquage;84;F;ND;ND;172;Arles;Haie Sud;31;5;1996
Emys orbicularis;Marquage;85;F;ND;ND;162;Arles;Haie Sud;31;5;1996
Emys orbicularis;Marquage;86;F;ND;ND;158;Arles;Haie Sud - Trois Martelières;3;6;1996
