site;presence_R1;presence_R2;presence_R3;Abond_R1;Abond_R2;Abond_R3;temp_R1;temp_R2;temp_R3;vent_R1;vent_R2;vent_R3;nuage_R1;nuage_R2;nuage_R3;nb_terriers_lapins
1;1;1;1;0;2;0;21,2;24,8;21,6;2,7;5,7;3,3;1;1;2;0
2;1;1;1;1;2;5;21,7;23,8;23,8;2,2;4,7;2,6;1;2;1;5
3;0;1;1;0;3;1;22,7;22,5;24,2;0,8;2,5;7,2;1;2;3;1
4;1;1;1;0;1;2;23,5;22,4;18,3;2,4;1,4;1,3;1;2;3;2
5;1;1;1;1;2;2;24,2;24,8;20,1;3,4;2,2;3,3;1;2;3;5
6;1;1;1;1;1;3;23,9;26,3;23,9;2,7;2,2;6,7;1;2;4;10
7;1;1;1;1;2;1;15,6;22,4;23,4;2,6;1,4;7,4;1;2;3;0
8;0;1;1;0;1;1;23,3;24,9;21,6;2,7;2,2;3,3;1;2;2;0
9;0;0;0;0;0;0;23,2;26,3;23,8;2,1;2,2;2,6;1;2;1;0
10;1;1;1;1;1;1;18,9;26;27,4;2,6;5;5,3;1;3;1;5
11;0;0;0;0;0;0;24,7;24,3;21,9;9,3;4,5;4,6;3;3;3;0
12;1;1;1;1;1;1;25;23,8;24,4;4,4;3,9;3,8;3;3;3;20
13;0;0;1;0;0;0;21,2;23,2;23,9;9,3;4,9;3,6;3;3;2;0
14;1;1;1;1;0;0;19,7;25,2;22,8;8,3;3,7;3,8;4;3;2;0
15;1;1;1;0;1;0;19;24,4;22,6;7,4;4,6;4;5;3;2;2
16;1;1;1;0;1;1;18;22,6;25,2;1,8;6,2;2,1;1;1;1;0
17;0;1;1;0;0;0;19,7;22,6;26,1;1,7;1;2;1;1;1;0
18;1;0;1;0;0;0;23,5;20,2;19,4;0;6,3;4,9;1;3;4;1
19;1;1;1;1;1;0;22,5;15,4;19,4;4,6;4,6;4,9;5;5;4;0
20;1;1;1;1;1;0;22,5;18,6;20,9;4,6;6,4;6,5;5;4;1;10
21;1;1;1;1;1;2;22,6;24,1;26,9;3,2;1,5;2,9;1;3;1;0
22;0;1;1;0;2;2;25,1;23,9;28,3;5,8;3,7;2,3;1;3;1;0
23;0;1;1;0;2;2;27,6;24,1;28,3;3,2;2,5;2,3;1;2;1;0
24;0;1;1;0;1;2;27,6;26;26,9;3,3;2,4;2,9;1;1;1;0
25;0;1;1;0;1;1;28,6;26;27,2;3,1;2,4;5,5;1;1;1;0
26;0;0;1;0;0;1;28,2;24,1;27,2;2,3;2,5;5,5;1;2;1;0
27;0;0;1;0;0;0;26,5;24,1;28,2;1,7;1,5;4,9;1;3;1;0
28;0;1;1;0;0;1;15,3;23,2;28,2;4,6;5,9;4,9;2;2;1;5
29;0;0;0;0;0;0;16,4;20,8;27,2;2,2;2,1;5,5;2;3;1;10
30;0;0;0;0;0;0;19,1;23,5;25,4;2,2;2,5;5,3;2;2;1;0
